method_name	error_message	n	example
Wishbone	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 593"	2	synthetic/linear_long_2
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 12"	2	real/epiblast-monkey_nakamura
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 33"	2	real/epiblast-monkey_nakamura
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 44"	2	synthetic/bifurcating_loop_7
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 48"	2	synthetic/linear_long_11
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 83"	2	real/blastocyst-monkey_nakamura
cellTree with vem	"sort(unique(c(cell_graph$from, cell_graph$to))) not equal to sort(names(to_keep)).
Lengths differ: 643 is not 644"	1	synthetic/consecutive_bifurcating_10
cellTree with vem	"sort(unique(c(cell_graph$from, cell_graph$to))) not equal to sort(names(to_keep)).
Lengths differ: 668 is not 680"	1	synthetic/converging_10
cellTree with vem	"sort(unique(c(cell_graph$from, cell_graph$to))) not equal to sort(names(to_keep)).
Lengths differ: 678 is not 680"	1	synthetic/converging_10
GPfates	"
 02m42s42  1020  -1.704960e+05   6.849200e+03 
 02m43s54  1027  -1.704912e+05   1.608523e+05 
 02m44s66  1034  -1.704964e+05   1.876726e+02 
 02m45s76  1041  -1.704966e+05   1.872668e+02 
 02m46s90  1048  -1.704968e+05   8.413395e+02 
 02m47s99  1054  -1.704969e+05   3.331609e+03 
 02m49s07  1060  -1.704971e+05   5.189028e+02 
 02m50s11  1066  -1.704973e+05   2.484356e+02 
 02m51s26  1073  -1.704967e+05   3.900521e+05 
 02m52s33  1079  -1.704977e+05   2.308918e+02 
 02m53s44  1085  -1.704978e+05   1.961911e+02 
 02m54s53  1091  -1.704981e+05   8.495355e+02 
 02m55s66  1097  -1.704983e+05   1."	1	real/epidermis-hair-spatial_joost
GPfates	"
 03m04s25  0453   2.449942e+06   6.074503e+05 
 03m05s48  0456   2.449932e+06   5.942055e+04 
 03m06s67  0459   2.449917e+06   2.323172e+05 
 03m07s79  0462   2.449914e+06   1.402761e+05 
 03m09s09  0466   2.449906e+06   5.225791e+05 
 03m10s15  0469   2.449901e+06   5.217854e+05 
 03m11s26  0472   2.449897e+06   1.945742e+05 
 03m12s33  0475   2.449885e+06   9.817372e+05 
 03m13s43  0478   2.449884e+06   7.696339e+04 
 03m14s64  0481   2.449855e+06   2.405706e+05 
 03m15s74  0484   2.449884e+06   1.702202e+07 
 03m17s00  0487   2.449836e+06   3.484050e+04 
 03m18s28  0490   2.449996e+06   2."	1	real/germline-human-male-weeks_li
GPfates	"
 03m07s78  0359   3.603687e+06   1.232380e+07 
 03m09s28  0362   3.603586e+06   4.630471e+03 
 03m10s73  0365   3.603586e+06   8.555065e+03 
 03m11s84  0367   3.603584e+06   1.750886e+05 
 03m12s92  0369   3.603577e+06   6.624668e+05 
 03m14s03  0371   3.603567e+06   3.770129e+05 
 03m15s60  0374   3.603565e+06   2.446515e+04 
 03m17s08  0377   3.603570e+06   6.322842e+05 
 03m18s53  0380   3.603560e+06   6.464476e+04 
 03m20s07  0383   3.603545e+06   1.504499e+06 
 03m21s25  0385   3.603538e+06   5.209442e+03 
 03m22s38  0387   3.617964e+06   6.725406e+09 
 03m23s48  0389   3.603538e+06   3."	1	real/aging-hsc-old_kowalczyk
GPfates	"
 03m14s40  0429   3.005306e+06   1.020765e+06 
 03m15s77  0432   3.005275e+06   3.169194e+05 
 03m17s06  0435   3.005255e+06   1.053521e+06 
 03m18s50  0438   3.005229e+06   2.261689e+06 
 03m19s91  0441   3.005215e+06   1.505910e+06 
 03m21s33  0444   3.005210e+06   2.375157e+06 
 03m22s75  0447   3.005167e+06   5.247790e+05 
 03m24s17  0450   3.005156e+06   1.073345e+06 
 03m25s58  0453   3.005128e+06   6.431102e+06 
 03m26s99  0456   3.005108e+06   1.401081e+06 
 03m28s44  0459   3.005086e+06   6.919197e+06 
 03m29s93  0462   3.005074e+06   7.912376e+05 
 03m31s43  0465   3.005063e+06   1."	1	real/germline-human-female_li
GPfates	"
 03m44s26  0151   5.169379e+06   4.289535e+07 
 03m45s65  0152   5.169356e+06   8.174799e+06 
 03m47s18  0153   5.169345e+06   1.671837e+06 
 03m48s53  0154   5.169326e+06   8.357838e+06 
 03m50s09  0155   5.169306e+06   2.600641e+07 
 03m51s55  0156   5.169274e+06   3.559627e+07 
 03m52s94  0157   5.169315e+06   1.164904e+08 
 03m54s25  0158   5.169259e+06   5.780771e+07 
 03m55s70  0159   5.169172e+06   1.673671e+06 
 03m57s08  0160   5.169125e+06   5.056388e+06 
 03m58s50  0161   5.169043e+06   5.396939e+07 
 03m59s87  0162   5.168996e+06   5.144406e+07 
 04m01s27  0163   5.192052e+06   2."	1	real/human-embryos_petropoulos
GPfates	" 
 02m39s09  0929   7.874770e+05   6.400844e+02 
 02m40s17  0935   7.874769e+05   1.379885e+02 
 02m41s25  0941   7.874768e+05   6.181693e+02 
 02m42s33  0947   7.874765e+05   1.471176e+03 
 02m43s38  0953   7.874763e+05   3.309246e+03 
 02m44s41  0959   7.874762e+05   5.679933e+02 
 02m45s48  0966   7.874759e+05   1.198554e+02 
 02m46s60  0972   7.874758e+05   1.646886e+02 
 02m47s62  0978   7.874757e+05   3.022004e+03 
 02m48s77  0985   7.874756e+05   4.684315e+02 
 02m49s83  0991   7.874755e+05   8.908027e+01 
 02m50s88  0997   7.874754e+05   1.017080e+03 
 02m51s91  1003   7.874752e+05   2"	1	synthetic/cycle_2
GPfates	" 
 02m40s24  0959   7.874329e+05   3.397790e+03 
 02m41s30  0965   7.874321e+05   1.348262e+03 
 02m42s32  0971   7.874318e+05   4.747735e+02 
 02m43s34  0977   7.874314e+05   1.687164e+03 
 02m44s35  0983   7.874309e+05   5.538603e+02 
 02m45s51  0990   7.874298e+05   6.389295e+02 
 02m46s53  0996   7.874293e+05   3.137491e+02 
 02m47s55  1002   7.874285e+05   9.452985e+02 
 02m48s58  1008   7.874298e+05   2.687110e+05 
 02m49s67  1014   7.874278e+05   2.995260e+03 
 02m50s69  1020   7.874274e+05   2.285602e+03 
 02m51s84  1027   7.874270e+05   6.896254e+02 
 02m52s84  1033   7.874263e+05   5"	1	synthetic/cycle_2
GPfates	" 
 02m42s27  0906   9.157387e+05   2.862912e+02 
 02m43s28  0912   9.157385e+05   2.853168e+02 
 02m44s29  0918   9.157383e+05   9.635656e+02 
 02m45s46  0925   9.157380e+05   3.589652e+02 
 02m46s62  0932   9.157376e+05   3.558637e+02 
 02m47s63  0938   9.157373e+05   5.536989e+02 
 02m48s63  0944   9.157371e+05   2.727996e+03 
 02m49s64  0950   9.157370e+05   6.283727e+03 
 02m50s66  0956   9.157369e+05   4.513030e+02 
 02m51s66  0962   9.157367e+05   2.909836e+02 
 02m52s67  0968   9.157367e+05   1.247692e+04 
 02m53s71  0974   9.157364e+05   1.848381e+03 
 02m54s77  0980   9.157363e+05   1"	1	synthetic/bifurcating_2
GPfates	" 
 02m42s63  0902   1.000961e+06   1.649825e+04 
 02m43s65  0907   1.000959e+06   3.806205e+03 
 02m44s67  0912   1.000958e+06   3.463947e+03 
 02m45s75  0918   1.000956e+06   4.187846e+03 
 02m46s87  0924   1.000953e+06   1.887412e+04 
 02m47s97  0930   1.000952e+06   3.182048e+04 
 02m49s08  0936   1.000950e+06   1.393785e+04 
 02m50s18  0942   1.000949e+06   7.475819e+03 
 02m51s28  0948   1.000948e+06   5.718445e+03 
 02m52s38  0954   1.000946e+06   6.942430e+02 
 02m53s47  0960   1.000945e+06   1.466705e+03 
 02m54s50  0966   1.000944e+06   1.542947e+03 
 02m55s65  0972   1.000943e+06   9"	1	synthetic/linear_2
GPfates	" 
 02m43s12  0829   9.157508e+05   4.213665e+02 
 02m44s13  0834   9.157505e+05   6.319269e+02 
 02m45s18  0839   9.157633e+05   1.329337e+06 
 02m46s19  0844   9.157493e+05   5.294996e+02 
 02m47s21  0849   9.157488e+05   5.779915e+03 
 02m48s21  0854   9.157504e+05   3.045204e+05 
 02m49s22  0859   9.157482e+05   3.864481e+02 
 02m50s32  0864   9.157480e+05   7.691658e+02 
 02m51s38  0870   9.157476e+05   1.709805e+02 
 02m52s54  0877   9.157473e+05   3.240665e+03 
 02m53s56  0883   9.157470e+05   6.646259e+02 
 02m54s60  0889   9.157468e+05   2.715279e+02 
 02m55s63  0895   9.157466e+05   3"	1	synthetic/bifurcating_2
GPfates	" 
 02m43s39  0949   7.874830e+05   6.591027e+02 
 02m44s43  0955   7.874824e+05   3.714912e+02 
 02m45s51  0962   7.874822e+05   3.091656e+03 
 02m46s53  0968   7.874819e+05   1.556159e+03 
 02m47s54  0974   7.874817e+05   3.750987e+02 
 02m48s56  0980   7.874812e+05   3.580369e+02 
 02m49s58  0986   7.874811e+05   3.857389e+02 
 02m50s61  0992   7.874808e+05   1.861197e+03 
 02m51s63  0998   7.874805e+05   1.849890e+02 
 02m52s64  1004   7.874808e+05   1.376745e+03 
 02m53s66  1010   7.874799e+05   6.494147e+02 
 02m54s68  1016   7.874793e+05   2.464726e+03 
 02m55s70  1022   7.874785e+05   1"	1	synthetic/cycle_2
GPfates	" 
 02m43s94  0961   7.874850e+05   1.287324e+03 
 02m45s02  0967   7.874851e+05   3.015586e+04 
 02m46s07  0973   7.874849e+05   2.044931e+05 
 02m47s12  0979   7.874836e+05   1.613004e+03 
 02m48s17  0985   7.874830e+05   9.644541e+02 
 02m49s21  0991   7.874823e+05   1.025275e+03 
 02m50s26  0997   7.874816e+05   9.170061e+02 
 02m51s30  1003   7.874811e+05   2.001258e+03 
 02m52s34  1009   7.874803e+05   2.866085e+03 
 02m53s35  1015   7.874799e+05   6.129837e+03 
 02m54s39  1021   7.874795e+05   4.002646e+03 
 02m55s49  1028   7.874793e+05   4.873551e+04 
 02m56s64  1034   7.874789e+05   1"	1	synthetic/cycle_2
GPfates	" 
 02m45s34  0885   1.000904e+06   1.206672e+04 
 02m46s50  0891   1.000904e+06   5.136685e+04 
 02m47s67  0897   1.000903e+06   7.572887e+02 
 02m48s83  0903   1.000902e+06   1.762910e+03 
 02m49s99  0909   1.000901e+06   5.920978e+02 
 02m51s15  0915   1.000900e+06   4.076602e+02 
 02m52s34  0921   1.000900e+06   1.438521e+04 
 02m53s50  0927   1.000900e+06   2.478988e+03 
 02m54s67  0933   1.000899e+06   1.002062e+05 
 02m55s85  0939   1.000898e+06   3.423446e+03 
 02m57s02  0945   1.000898e+06   1.797084e+03 
 02m58s19  0951   1.000898e+06   7.336075e+02 
 02m59s35  0957   1.000897e+06   3"	1	synthetic/linear_2
GPfates	" 
 03m02s89  0333   3.791121e+06   2.119367e+04 
 03m04s06  0335   3.791103e+06   2.706454e+05 
 03m05s25  0337   3.791100e+06   2.596872e+05 
 03m06s47  0339   3.791143e+06   6.979218e+07 
 03m07s66  0341   3.791098e+06   4.190397e+05 
 03m08s84  0343   3.791097e+06   2.614353e+04 
 03m10s00  0345   3.791096e+06   9.895397e+04 
 03m11s17  0347   3.791101e+06   8.603123e+06 
 03m12s35  0349   3.791087e+06   7.346716e+05 
 03m13s51  0351   3.791077e+06   1.206079e+05 
 03m14s66  0353   3.796111e+06   6.873100e+09 
 03m15s82  0355   3.791071e+06   1.084135e+06 
 03m16s97  0357   3.791069e+06   5"	1	real/pancreatic-beta-cell-maturation_zhang
GPfates	" 
 03m03s78  0355   3.033511e+06   1.185628e+07 
 03m04s92  0357   3.033493e+06   4.548811e+06 
 03m06s03  0359   3.033484e+06   7.957321e+05 
 03m07s16  0361   3.033470e+06   1.107041e+05 
 03m08s29  0363   3.033459e+06   6.353838e+05 
 03m09s72  0366   3.033373e+06   4.065209e+06 
 03m11s17  0369   3.034673e+06   1.630808e+09 
 03m12s20  0371   3.033305e+06   1.737302e+06 
 03m13s71  0374   3.033284e+06   8.959152e+05 
 03m15s21  0377   3.033271e+06   8.815753e+05 
 03m16s27  0379   3.033227e+06   2.743935e+05 
 03m17s28  0381   3.033205e+06   4.867989e+05 
 03m18s29  0383   3.033281e+06   1"	1	real/germline-human-female-weeks_li
GPfates	" 03m03s05  0338   3.603475e+06   4.962916e+04 
 03m04s29  0340   3.603474e+06   2.447938e+04 
 03m05s54  0342   3.603474e+06   6.315502e+04 
 03m06s78  0344   3.603474e+06   1.443289e+05 
 03m08s02  0346   3.603472e+06   5.034930e+03 
 03m09s27  0348   3.603472e+06   5.890479e+04 
 03m10s50  0350   3.603501e+06   1.571388e+07 
 03m11s77  0352   3.603471e+06   1.388430e+05 
 03m13s06  0354   3.603467e+06   6.673469e+04 
 03m14s31  0356   3.603532e+06   7.755971e+06 
 03m15s56  0358   3.603466e+06   1.727142e+04 
 03m16s80  0360   3.603465e+06   8.509341e+04 
 03m18s05  0362   3.603462e+06   6.6"	1	real/aging-hsc-old_kowalczyk
GPfates	"/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 500, in _pass_through_notify_observers
    self.notify_observers(which=which)
  File ""/scra"	1	real/aging-hsc-young_kowalczyk
GPfates	"+02 
 02m37s94  0973  -7.389252e+04   4.818341e+03 
 02m39s05  0979  -7.389457e+04   2.063766e+03 
 02m40s12  0985  -7.389466e+04   3.067335e+03 
 02m41s22  0991  -7.389510e+04   4.954984e+02 
 02m42s29  0997  -7.389544e+04   5.594401e+02 
 02m43s36  1003  -7.389594e+04   5.242157e+03 
 02m44s45  1009  -7.389673e+04   6.829415e+03 
 02m45s54  1015  -7.389767e+04   2.071654e+03 
 02m46s60  1021  -7.389824e+04   7.215582e+03 
 02m47s62  1027  -7.390007e+04   1.803742e+03 
 02m48s73  1034  -7.389694e+04   2.469587e+06 
 02m49s76  1040  -7.390372e+04   4.839821e+02 
 02m50s91  1047  -7.390236e+04 "	1	real/epidermis-hair-IFE_joost
GPfates	"+02 
 02m45s76  0825   9.601477e+05   8.561104e+02 
 02m46s91  0831   9.601469e+05   3.068895e+03 
 02m47s94  0837   9.601464e+05   1.593641e+03 
 02m48s95  0842   9.601458e+05   2.498190e+03 
 02m50s16  0848   9.601454e+05   2.741164e+02 
 02m51s21  0853   9.601453e+05   1.213870e+03 
 02m52s28  0858   9.601449e+05   1.598220e+03 
 02m53s31  0863   9.601446e+05   1.064173e+04 
 02m54s32  0868   9.601441e+05   1.125422e+03 
 02m55s34  0873   9.601438e+05   3.542997e+02 
 02m56s54  0879   9.601435e+05   3.528658e+02 
 02m57s60  0885   9.601429e+05   1.294120e+03 
 02m58s65  0891   9.601426e+05 "	1	synthetic/linear_long_2
GPfates	"+03 
 02m41s63  0819   9.601482e+05   1.266063e+03 
 02m42s68  0825   9.601477e+05   2.856256e+03 
 02m43s75  0831   9.601472e+05   1.253187e+03 
 02m44s80  0837   9.601465e+05   1.047520e+03 
 02m45s87  0843   9.601457e+05   9.234183e+02 
 02m47s01  0850   9.601453e+05   1.984571e+03 
 02m48s03  0856   9.601447e+05   8.837206e+02 
 02m49s19  0863   9.601434e+05   2.570564e+03 
 02m50s22  0869   9.601428e+05   1.438272e+04 
 02m51s25  0875   9.601425e+05   1.606022e+04 
 02m52s30  0881   9.601418e+05   4.070152e+03 
 02m53s32  0887   9.601410e+05   2.674887e+03 
 02m54s34  0893   9.601405e+05 "	1	synthetic/linear_long_2
GPfates	"+06 
 05m13s83  0152  -9.074196e+05   4.159618e+06 
 05m15s57  0153  -9.042119e+05   6.235493e+08 
 05m17s62  0154  -9.074231e+05   8.034877e+06 
 05m19s71  0155  -9.074575e+05   2.845346e+06 
 05m21s80  0156  -9.074751e+05   2.614710e+05 
 05m23s88  0157  -9.074835e+05   8.301263e+05 
 05m25s97  0158  -9.074935e+05   2.393715e+06 
 05m28s04  0159  -9.075117e+05   1.345411e+06 
 05m30s11  0160  -8.997717e+05   1.703017e+10 
 05m32s18  0161  -9.075145e+05   1.168030e+07 
 05m34s10  0162  -9.075385e+05   5.353776e+06 
 05m36s20  0163  -9.075624e+05   6.524241e+05 
 05m38s39  0164  -9.075720e+05 "	1	real/dentate-gyrus-neurogenesis_hochgerner
GPfates	"+07 
 07m08s77  0151  -3.559535e+05   5.851311e+06 
 07m11s42  0152  -3.559120e+05   7.108820e+07 
 07m14s07  0153  -3.559759e+05   4.830551e+06 
 07m16s75  0154  -3.560165e+05   8.395887e+06 
 07m19s46  0155  -3.561780e+05   7.722230e+06 
 07m22s13  0156  -3.534553e+05   2.205567e+09 
 07m24s93  0157  -3.563860e+05   1.114706e+08 
 07m27s71  0158  -3.565459e+05   8.552451e+07 
 07m31s03  0159  -3.570638e+05   7.905758e+06 
 07m34s21  0160  -3.571052e+05   4.501251e+06 
 07m37s31  0161  -3.569622e+05   3.222383e+08 
 07m40s84  0162  -3.571188e+05   9.060827e+06 
 07m44s26  0163  -3.571409e+05 "	1	real/oligodendrocyte-differentiation-clusters_marques
GPfates	"02 
 02m35s19  1958   2.719217e+05   2.333209e+02 
 02m36s25  1972   2.719198e+05   4.996399e+01 
 02m37s31  1986   2.719187e+05   1.470029e+02 
 02m38s33  1999   2.719172e+05   1.411497e+04 
 02m38s54  2002   2.719169e+05   6.400398e+01 
Runtime:  02m38s54
Optimization status: Maximum number of f evaluations reached

Store DR------------------------------------------------------
Infer pseudotime----------------------------------------------
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/wrapper.py"", line 28, in <module>
    m.infe"	1	synthetic/bifurcating_loop_2
GPfates	"02 
 02m46s04  0964   8.017304e+05   6.728202e+02 
 02m47s18  0971   8.017295e+05   1.781629e+03 
 02m48s30  0978   8.017286e+05   1.609416e+04 
 02m49s45  0985   8.017274e+05   1.200546e+04 
 02m50s57  0992   8.017265e+05   9.923610e+03 
 02m51s72  0999   8.017258e+05   6.632800e+04 
 02m52s83  1006   8.017245e+05   2.071532e+03 
 02m53s95  1013   8.017251e+05   9.772111e+04 
 02m55s08  1020   8.017242e+05   5.952413e+05 
 02m56s19  1027   8.017228e+05   2.284456e+03 
 02m57s33  1034   8.017222e+05   1.093807e+03 
 02m58s45  1041   8.017222e+05   6.244774e+04 
 02m59s58  1048   8.017214e+05  "	1	real/hepatoblast-differentiation_yang
GPfates	"03 
 02m45s59  0852   9.613693e+05   1.413072e+03 
 02m46s73  0858   9.613680e+05   3.660046e+02 
 02m47s81  0864   9.613682e+05   2.236748e+04 
 02m48s82  0869   9.613673e+05   3.544254e+02 
 02m49s99  0875   9.613667e+05   1.252147e+04 
 02m51s09  0881   9.613663e+05   6.593011e+02 
 02m52s17  0887   9.613660e+05   5.092875e+02 
 02m53s25  0893   9.613656e+05   3.499174e+02 
 02m54s34  0899   9.613648e+05   1.376649e+03 
 02m55s44  0905   9.613640e+05   9.463279e+03 
 02m56s52  0911   9.613636e+05   6.013634e+03 
 02m57s58  0917   9.613630e+05   1.626400e+03 
 02m58s65  0923   9.613628e+05  "	1	synthetic/bifurcating_converging_2
GPfates	"05 
 05m22s36  0151  -9.100315e+05   7.491036e+06 
 05m24s66  0152  -9.100513e+05   3.695574e+06 

 05m26s92  0153  -9.100801e+05   8.104848e+04 
 05m29s20  0154  -9.101018e+05   3.119116e+06 
 05m31s26  0155  -9.101191e+05   3.775459e+06 
 05m33s23  0156  -9.099283e+05   9.790950e+07 
 05m35s30  0157  -9.101217e+05   7.786344e+06 
 05m37s45  0158  -9.101333e+05   1.681162e+06 
 05m39s76  0159  -9.101377e+05   1.101752e+05 
 05m42s09  0160  -9.101394e+05   9.581565e+05 
 05m44s20  0161  -9.101418e+05   1.497596e+06 
 05m46s16  0162  -9.101431e+05   9.599188e+06 
 05m48s41  0163  -9.101492e+05 "	1	real/dentate-gyrus-neurogenesis_hochgerner
GPfates	"06 
 07m14s99  0151  -3.564417e+05   3.403988e+08 
 07m17s76  0152  -3.582411e+05   8.353903e+06 
 07m20s78  0153  -3.583046e+05   3.604934e+08 
 07m23s98  0154  -3.584622e+05   4.863683e+06 
 07m26s94  0155  -3.584726e+05   8.137627e+05 
 07m29s54  0156  -3.584756e+05   8.378515e+05 
 07m32s28  0157  -3.532155e+05   2.796170e+09 
 07m35s14  0158  -3.584926e+05   1.289195e+07 
 07m37s89  0159  -3.585294e+05   9.293099e+06 
 07m40s58  0160  -3.587037e+05   2.612249e+06 
 07m43s59  0161  -3.588630e+05   1.804687e+06 
 07m46s90  0162  -3.583675e+05   6.628150e+06 
 07m49s42  0163  -3.589121e+05  "	1	real/oligodendrocyte-differentiation-clusters_marques
GPfates	"2 
 02m35s36  1967   2.719048e+05   5.362629e+01 
 02m36s41  1979   2.719045e+05   2.013587e+02 
 02m37s46  1991   2.719044e+05   2.402402e+02 
 02m38s41  2002   2.719039e+05   9.591258e+00 
Runtime:  02m38s41
Optimization status: Maximum number of f evaluations reached

Store DR------------------------------------------------------
Infer pseudotime----------------------------------------------
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/wrapper.py"", line 28, in <module>
    m.infer_pseudotime(s_columns=[""bgplvm_"" + str(i) for i"	1	synthetic/bifurcating_loop_2
GPfates	"2 
 02m35s61  1907   2.719352e+05   9.914740e+01 
 02m36s66  1919   2.719337e+05   1.127537e+02 
 02m37s69  1931   2.719323e+05   5.880746e+01 
 02m38s71  1943   2.719311e+05   5.411238e+01 
 02m39s75  1955   2.720956e+05   5.199271e+06 
 02m40s78  1967   2.719317e+05   4.321499e+04 
 02m41s78  1980   2.719288e+05   2.158933e+02 
 02m42s83  1994   2.719279e+05   1.111068e+03 
 02m43s46  2002   2.719276e+05   9.107020e+01 
Runtime:  02m43s46
Optimization status: Maximum number of f evaluations reached

Store DR------------------------------------------------------
Infer pseudotime--------------"	1	synthetic/bifurcating_loop_2
GPfates	"2 
 02m41s80  0995   8.218016e+05   1.858077e+02 
 02m42s95  1002   8.218014e+05   1.143032e+03 
 02m44s11  1009   8.218014e+05   3.662777e+03 
 02m45s26  1016   8.218013e+05   8.523019e+01 
 02m46s42  1023   8.218012e+05   1.359366e+02 
 02m47s57  1030   8.218013e+05   2.063592e+04 
 02m48s72  1037   8.218011e+05   2.184506e+02 
 02m49s87  1044   8.218010e+05   5.163511e+01 
 02m51s03  1051   8.218010e+05   1.009471e+03 
 02m52s14  1058   8.218009e+05   3.574751e+01 
 02m53s20  1065   8.218008e+05   4.954213e+01 
 02m54s24  1072   8.218008e+05   1.010978e+03 
 02m55s25  1079   8.218007e+05   "	1	synthetic/consecutive_bifurcating_2
GPfates	"3 
 02m42s82  1043   7.480225e+05   2.630768e+03 
 02m43s95  1051   7.480221e+05   5.531113e+04 
 02m45s09  1059   7.480205e+05   1.121319e+03 
 02m46s23  1067   7.480198e+05   1.892919e+04 
 02m47s33  1075   7.480180e+05   1.911645e+03 
 02m48s37  1082   7.480174e+05   6.986220e+02 
 02m49s38  1089   7.480164e+05   5.362124e+03 
 02m50s38  1096   7.480154e+05   3.980681e+03 
 02m51s40  1103   7.480139e+05   4.094639e+03 
 02m52s43  1110   7.480126e+05   1.852615e+03 
 02m53s60  1118   7.480113e+05   5.597235e+03 
 02m54s68  1125   7.480097e+05   1.577554e+03 
 02m55s83  1134   7.480073e+05   "	1	synthetic/trifurcating_2
GPfates	"3 
 02m43s54  0986   7.480160e+05   1.040639e+04 
 02m44s57  0993   7.480143e+05   3.211594e+04 
 02m45s63  1000   7.480129e+05   8.202755e+02 
 02m46s67  1007   7.480124e+05   2.164459e+03 
 02m47s76  1015   7.480618e+05   1.306730e+07 
 02m48s81  1022   7.480124e+05   2.846334e+05 
 02m49s82  1029   7.480082e+05   3.704548e+03 
 02m50s95  1037   7.480064e+05   1.838145e+03 
 02m51s97  1044   7.480056e+05   1.925170e+03 
 02m52s97  1051   7.480054e+05   4.575501e+04 
 02m54s11  1059   7.480043e+05   1.282034e+04 
 02m55s27  1067   7.480034e+05   1.383370e+04 
 02m56s31  1074   7.480027e+05   "	1	synthetic/trifurcating_2
